Geneid,HL1d,HL4d,HL8d,HL12d,HP1,HP2,HPp1,HPp2
XP_037902398.1,0.55,1.82,0.455,0.115,17.425,3.75,0.31,3.575
XP_037902399.1,0.55,1.82,0.455,0.115,17.425,3.75,0.31,3.575
XP_037902427.1,13.035,11.785,16.61,15.595,24.93,39.685,27.855,20.965
XP_037902453.1,7.03,2.33,3.365,3.61,7.955,2.825,3.165,26
XP_037902454.1,7.03,2.33,3.365,3.61,7.955,2.825,3.165,26
XP_037902462.1,3.675,3.1,2.065,1.98,6.455,2.735,4.3,6.295
XP_037902482.1,0,0,0,0,0.03,0,0,1.3
XP_037902493.1,21.07,10.52,37.665,110.38,188.14,6.265,96.075,33.61
XP_037902513.1,0.84,0.33,0.115,0.12,1.155,0.625,0.34,1.855
XP_037902530.1,0,0,0,0,0.745,0,0.06,0.52
XP_037902534.1,2.305,1.12,3.675,10.07,1.25,0.255,1.46,1.945
XP_037902535.1,0.025,0.02,0.015,0.01,0.015,0,0.005,0.07
XP_037902536.1,0.025,0.02,0.015,0.01,0.015,0,0.005,0.07
XP_037902545.1,2.01,0.665,0.475,0.11,1.825,1.165,0.505,2.26
XP_037902546.1,2.01,0.665,0.475,0.11,1.825,1.165,0.505,2.26
XP_037902547.1,2.01,0.665,0.475,0.11,1.825,1.165,0.505,2.26
XP_037902550.1,0.565,3.345,1.08,0.475,0.635,1.955,0.85,0.425
XP_037902551.1,0.565,3.345,1.08,0.475,0.635,1.955,0.85,0.425
XP_037902563.1,0,0,0,0,0,0,0,0
XP_037902610.1,0.385,0.275,0.325,0.23,3.225,1.815,0.515,4.145
XP_037902611.1,8.78,1.88,1.47,1.155,2.715,1.375,1.25,9.865
XP_037902625.1,0.465,0.48,0.315,0.25,3.73,1.35,0.735,4.555
XP_037902646.1,3.265,0.74,0.47,0.815,2.01,1.225,0.82,3.43
XP_037902653.1,1.175,0.175,2.07,4.34,0.23,0.17,1.93,1.695
XP_037902660.1,0,0,0,0,0,0.06,0.035,0.13
XP_037902661.1,0,0,0,0,0,0.06,0.035,0.13
XP_037902682.1,0.075,0,0,0,0.015,0,0,0.03
XP_037902688.1,3.335,3.275,4.145,3.54,0,0.11,1.76,0.155
XP_037902710.1,1.22,0.515,0.61,0.515,5.92,1.325,1.36,6.63
XP_037902711.1,386.58,486.69,2894.565,2464.01,0.11,1.34,225.115,0.82
XP_037902719.1,37.88,3.025,22.945,13.705,0,0,0.41,0.015
XP_037902721.1,0.455,0.19,0.345,0.415,0.72,0.06,0.13,3.045
XP_037902732.1,0.1,0.06,0.035,0.06,1.52,3.18,0.115,2.045
XP_037902733.1,0.1,0.06,0.035,0.06,1.52,3.18,0.115,2.045
XP_037902744.1,2.875,0.855,1.48,0.99,0.045,0.045,0.395,0.115
XP_037902745.1,2.875,0.855,1.48,0.99,0.045,0.045,0.395,0.115
XP_037902751.1,0.15,0.225,0.1,0.05,0.48,0.25,0.11,0.66
XP_037902752.1,0.15,0.225,0.1,0.05,0.48,0.25,0.11,0.66
XP_037902772.1,0.04,0.105,1.075,0.15,0,0,0.03,0
XP_037902773.1,0.275,0.425,1.345,0.805,0.03,0,0.115,0.01
